PO_ID,PO_Date,Supplier,Category,Quantity_Ordered,Unit_Cost,PO_Value,Promised_Delivery_Days,Actual_Delivery_Days,On_Time,Late_Days,Opening_Stock,Demand_Units,Received_Units,Closing_Stock,Stockout
PO100712,2025-01-03,Supplier_10,Home & Kitchen,12,33.08,396.96,10,8,Yes,0,221,28,12,205,No
PO100713,2025-12-07,Supplier_05,Home & Kitchen,17,44.98,764.66,8,19,No,11,235,21,17,231,No
PO100714,2025-01-24,Supplier_06,Office Supplies,7,28.08,196.56,10,15,No,5,96,25,7,78,No
PO100715,2025-08-16,Supplier_08,Office Supplies,9,322.65,2903.85,8,19,No,11,56,25,9,40,No
PO100716,2025-11-23,Supplier_06,Home & Kitchen,11,152.68,1679.48,6,6,Yes,0,482,24,11,469,No
PO100717,2025-03-16,Supplier_05,Home & Kitchen,1,227.6,227.6,7,5,Yes,0,274,33,1,242,No
PO100718,2025-01-07,Supplier_05,Electronics,5,438.64,2193.2,7,5,Yes,0,495,35,5,465,No
PO100719,2025-12-15,Supplier_08,Office Supplies,6,212.08,1272.48,3,1,Yes,0,344,21,6,329,No
PO100720,2025-05-23,Supplier_09,Home & Kitchen,5,404.9,2024.5,5,6,Yes,1,88,25,5,68,No
PO100721,2025-10-13,Supplier_10,Electronics,20,242.18,4843.6,3,7,No,4,133,29,20,0,Yes
PO100722,2025-07-03,Supplier_04,Electronics,5,216.33,1081.65,3,3,Yes,0,116,41,5,80,No
PO100723,2025-02-05,Supplier_03,Electronics,5,153.54,767.7,8,9,Yes,1,47,51,5,0,Yes
PO100724,2025-06-14,Supplier_05,Home & Kitchen,10,414.44,4144.4,7,9,No,2,467,34,10,443,No
PO100725,2025-09-07,Supplier_12,Home & Kitchen,11,198.44,2182.84,6,12,No,6,417,25,11,0,Yes
PO100726,2025-03-25,Supplier_13,Electronics,11,363.74,4001.14,5,10,No,5,212,46,11,0,Yes
PO100727,2025-05-31,Supplier_12,Office Supplies,3,57.09,171.27,10,11,Yes,1,437,25,3,415,No
PO100728,2025-07-02,Supplier_06,Electronics,10,112.61,1126.1,9,10,Yes,1,101,46,10,0,Yes
PO100729,2025-01-13,Supplier_15,Electronics,2,466.98,933.96,7,10,No,3,52,45,2,9,No
PO100730,2025-07-25,Supplier_09,Office Supplies,5,499.25,2496.25,4,2,Yes,0,340,30,5,0,Yes
PO100731,2025-04-01,Supplier_06,Home & Kitchen,17,229.52,3901.84,3,2,Yes,0,481,29,17,469,No
PO100732,2025-12-16,Supplier_09,Office Supplies,14,460.71,6449.94,7,14,No,7,308,24,14,298,No
PO100733,2025-07-19,Supplier_14,Office Supplies,14,299.74,4196.36,3,3,Yes,0,331,18,14,327,No
PO100734,2025-08-05,Supplier_07,Office Supplies,5,456.66,2283.3,6,13,No,7,65,25,5,45,No
PO100735,2025-07-29,Supplier_02,Home & Kitchen,13,415.95,5407.35,9,14,No,5,89,24,13,78,No
PO100736,2025-10-03,Supplier_05,Home & Kitchen,10,488.41,4884.1,6,6,Yes,0,438,29,10,419,No
PO100737,2025-12-19,Supplier_15,Electronics,20,276.55,5531.0,10,9,Yes,0,58,50,20,0,Yes
PO100738,2025-06-25,Supplier_07,Home & Kitchen,12,472.0,5664.0,8,14,No,6,252,24,12,240,No
PO100739,2025-06-20,Supplier_04,Electronics,15,170.94,2564.1,9,12,No,3,461,56,15,0,Yes
PO100740,2025-10-03,Supplier_14,Electronics,10,426.71,4267.1,10,11,No,1,438,42,10,406,No
PO100741,2025-05-07,Supplier_06,Home & Kitchen,4,295.18,1180.72,3,4,Yes,1,321,22,4,0,Yes
PO100742,2025-04-28,Supplier_05,Electronics,3,429.31,1287.93,5,3,Yes,0,183,47,3,139,No
PO100743,2025-11-21,Supplier_02,Home & Kitchen,12,341.24,4094.88,10,15,No,5,480,29,12,463,No
PO100744,2025-12-26,Supplier_15,Office Supplies,4,159.41,637.64,5,15,No,10,420,18,4,406,No
PO100745,2025-07-06,Supplier_13,Electronics,15,371.9,5578.5,5,6,No,1,160,38,15,137,No
PO100746,2025-11-06,Supplier_06,Home & Kitchen,11,229.77,2527.47,9,11,No,2,242,34,11,219,No
PO100747,2025-07-19,Supplier_08,Electronics,9,15.11,135.99,7,17,No,10,167,46,9,0,Yes
PO100748,2025-08-29,Supplier_04,Electronics,4,480.05,1920.2,4,4,Yes,0,352,40,4,0,Yes
PO100749,2025-03-13,Supplier_15,Electronics,20,485.07,9701.4,9,8,Yes,0,138,48,20,0,Yes
PO100750,2025-01-10,Supplier_14,Electronics,11,33.84,372.24,8,17,No,9,410,48,11,373,No
PO100751,2025-10-14,Supplier_03,Electronics,19,32.57,618.83,10,16,No,6,205,64,19,160,No
PO100752,2025-07-13,Supplier_04,Home & Kitchen,1,82.84,82.84,3,9,No,6,93,21,1,73,No
PO100753,2025-10-13,Supplier_14,Office Supplies,12,331.51,3978.12,8,15,No,7,317,20,12,309,No
PO100754,2025-08-04,Supplier_04,Home & Kitchen,11,185.72,2042.92,7,8,Yes,1,90,31,11,70,No
PO100755,2025-07-23,Supplier_06,Office Supplies,7,239.98,1679.86,10,19,No,9,456,22,7,441,No
PO100756,2025-01-14,Supplier_13,Office Supplies,11,72.01,792.11,8,16,No,8,363,20,11,354,No
PO100757,2025-05-16,Supplier_04,Home & Kitchen,14,161.8,2265.2,8,15,No,7,98,27,14,0,Yes
PO100758,2025-11-29,Supplier_13,Office Supplies,12,489.11,5869.32,8,17,No,9,107,17,12,102,No
PO100759,2025-07-30,Supplier_10,Home & Kitchen,10,228.49,2284.9,10,17,No,7,330,31,10,309,No
PO100760,2025-10-10,Supplier_03,Electronics,1,383.31,383.31,9,14,No,5,206,47,1,0,Yes
PO100761,2025-10-28,Supplier_01,Office Supplies,5,312.21,1561.05,3,5,No,2,122,14,5,0,Yes
PO100762,2025-07-19,Supplier_03,Home & Kitchen,4,473.94,1895.76,8,18,No,10,69,23,4,0,Yes
PO100763,2025-09-05,Supplier_08,Office Supplies,10,63.35,633.5,10,21,No,11,76,22,10,64,No
PO100764,2025-11-20,Supplier_15,Electronics,19,46.72,887.68,8,9,Yes,1,344,38,19,325,No
PO100765,2025-11-23,Supplier_08,Office Supplies,17,399.83,6797.11,6,5,Yes,0,350,24,17,343,No
PO100766,2025-02-17,Supplier_02,Electronics,16,104.09,1665.44,4,15,No,11,441,38,16,419,No
PO100767,2025-06-08,Supplier_01,Electronics,14,84.69,1185.66,6,13,No,7,49,54,14,0,Yes
PO100768,2025-12-11,Supplier_03,Home & Kitchen,17,246.37,4188.29,7,10,No,3,490,40,17,467,No
PO100769,2025-08-27,Supplier_07,Electronics,13,260.12,3381.56,10,14,No,4,126,48,13,0,Yes
PO100770,2025-03-04,Supplier_07,Home & Kitchen,18,154.85,2787.3,9,9,Yes,0,191,30,18,179,No
PO100771,2025-07-28,Supplier_05,Electronics,5,336.97,1684.85,6,6,Yes,0,83,41,5,47,No
PO100772,2025-01-14,Supplier_10,Electronics,5,399.38,1996.9,6,17,No,11,236,47,5,0,Yes
PO100773,2025-08-27,Supplier_04,Office Supplies,18,38.72,696.96,3,2,Yes,0,256,27,18,247,No
PO100774,2025-03-06,Supplier_04,Office Supplies,20,412.22,8244.4,4,5,No,1,449,20,20,449,No
PO100775,2025-06-30,Supplier_14,Electronics,6,420.5,2523.0,8,8,Yes,0,118,42,6,0,Yes
PO100776,2025-08-26,Supplier_09,Electronics,5,349.15,1745.75,5,16,No,11,417,51,5,371,No
PO100777,2025-07-23,Supplier_09,Office Supplies,5,352.16,1760.8,3,14,No,11,313,24,5,294,No
PO100778,2025-08-18,Supplier_09,Home & Kitchen,7,102.89,720.23,10,14,No,4,51,23,7,35,No
PO100779,2025-05-31,Supplier_03,Home & Kitchen,15,483.06,7245.9,10,15,No,5,186,29,15,172,No
PO100780,2025-01-31,Supplier_09,Office Supplies,9,486.95,4382.55,3,4,Yes,1,429,20,9,418,No
PO100781,2025-07-15,Supplier_12,Office Supplies,15,215.52,3232.8,10,17,No,7,436,18,15,433,No
PO100782,2025-02-06,Supplier_01,Home & Kitchen,19,277.95,5281.05,5,9,No,4,212,21,19,210,No
PO100783,2025-04-11,Supplier_06,Office Supplies,4,399.38,1597.52,8,9,Yes,1,324,12,4,316,No
PO100784,2025-09-23,Supplier_05,Electronics,11,395.09,4345.99,8,19,No,11,237,52,11,0,Yes
PO100785,2025-11-25,Supplier_09,Office Supplies,17,346.97,5898.49,10,8,Yes,0,492,23,17,486,No
PO100786,2025-05-13,Supplier_14,Electronics,14,140.24,1963.36,10,11,Yes,1,184,46,14,0,Yes
PO100787,2025-04-30,Supplier_06,Home & Kitchen,15,22.11,331.65,10,13,No,3,442,34,15,423,No
PO100788,2025-06-14,Supplier_01,Home & Kitchen,11,451.15,4962.65,5,16,No,11,329,33,11,307,No
PO100789,2025-11-15,Supplier_10,Electronics,8,149.29,1194.32,6,11,No,5,449,44,8,413,No
PO100790,2025-12-14,Supplier_05,Office Supplies,11,125.88,1384.68,3,3,Yes,0,67,19,11,59,No
PO100791,2025-10-28,Supplier_11,Home & Kitchen,4,246.23,984.92,4,11,No,7,292,24,4,272,No
PO100792,2025-07-27,Supplier_03,Office Supplies,1,242.92,242.92,5,5,Yes,0,194,25,1,170,No
PO100793,2025-09-17,Supplier_05,Electronics,4,390.78,1563.12,10,15,No,5,465,38,4,431,No
PO100794,2025-01-10,Supplier_06,Home & Kitchen,2,108.98,217.96,10,16,No,6,453,25,2,430,No
PO100795,2025-08-14,Supplier_13,Electronics,10,408.69,4086.9,4,3,Yes,0,131,41,10,0,Yes
PO100796,2025-01-14,Supplier_09,Electronics,2,405.1,810.2,3,4,Yes,1,295,37,2,260,No
PO100797,2025-10-19,Supplier_10,Home & Kitchen,8,139.54,1116.32,10,11,Yes,1,223,24,8,207,No
PO100798,2025-10-22,Supplier_11,Office Supplies,16,263.94,4223.04,3,1,Yes,0,311,16,16,311,No
PO100799,2025-09-27,Supplier_10,Home & Kitchen,4,447.6,1790.4,6,11,No,5,195,23,4,0,Yes
PO100800,2025-03-26,Supplier_14,Home & Kitchen,17,243.46,4138.82,3,11,No,8,327,32,17,312,No
PO100801,2025-07-16,Supplier_04,Office Supplies,11,167.33,1840.63,6,4,Yes,0,72,23,11,60,No
PO100802,2025-08-14,Supplier_10,Electronics,10,253.26,2532.6,5,6,Yes,1,174,37,10,147,No
PO100803,2025-01-11,Supplier_04,Office Supplies,7,424.73,2973.11,7,17,No,10,300,14,7,293,No
PO100804,2025-07-06,Supplier_09,Office Supplies,10,109.95,1099.5,5,4,Yes,0,94,24,10,80,No
PO100805,2025-06-15,Supplier_06,Home & Kitchen,16,303.96,4863.36,8,6,Yes,0,454,23,16,447,No
PO100806,2025-04-08,Supplier_14,Electronics,7,397.78,2784.46,4,4,Yes,0,365,42,7,330,No
PO100807,2025-05-02,Supplier_01,Office Supplies,17,360.59,6130.03,3,9,No,6,299,21,17,295,No
PO100808,2025-07-31,Supplier_09,Office Supplies,4,24.18,96.72,10,9,Yes,0,257,22,4,239,No
PO100809,2025-12-22,Supplier_01,Electronics,16,105.82,1693.12,3,11,No,8,205,48,16,173,No
PO100810,2025-04-20,Supplier_06,Electronics,13,284.93,3704.09,3,8,No,5,139,35,13,0,Yes
PO100811,2025-05-11,Supplier_10,Home & Kitchen,1,279.93,279.93,5,3,Yes,0,340,26,1,315,No
PO100812,2025-01-19,Supplier_04,Home & Kitchen,2,17.81,35.62,5,10,No,5,93,29,2,66,No
PO100813,2025-09-01,Supplier_05,Electronics,3,266.29,798.87,9,9,Yes,0,124,53,3,0,Yes
PO100814,2025-06-28,Supplier_11,Office Supplies,13,173.9,2260.7,10,8,Yes,0,137,20,13,130,No
PO100815,2025-04-07,Supplier_11,Home & Kitchen,10,147.18,1471.8,8,6,Yes,0,463,36,10,437,No
PO100816,2025-11-29,Supplier_10,Home & Kitchen,10,21.27,212.7,3,2,Yes,0,119,32,10,97,No
PO100817,2025-12-20,Supplier_02,Electronics,8,307.27,2458.16,9,19,No,10,401,53,8,0,Yes
PO100818,2025-11-10,Supplier_06,Home & Kitchen,11,54.81,602.91,9,8,Yes,0,428,22,11,417,No
PO100819,2025-12-23,Supplier_12,Electronics,13,374.88,4873.44,9,17,No,8,400,48,13,0,Yes
PO100820,2025-04-08,Supplier_13,Home & Kitchen,11,64.15,705.65,8,14,No,6,169,31,11,149,No
PO100821,2025-07-27,Supplier_04,Electronics,12,69.89,838.68,6,15,No,9,31,51,12,0,Yes
PO100822,2025-11-09,Supplier_06,Electronics,13,457.54,5948.02,9,8,Yes,0,368,52,13,329,No
PO100823,2025-12-29,Supplier_14,Office Supplies,12,330.78,3969.36,5,16,No,11,430,21,12,421,No
PO100824,2025-05-04,Supplier_02,Electronics,19,260.08,4941.52,4,12,No,8,135,42,19,112,No
PO100825,2025-05-23,Supplier_14,Home & Kitchen,6,286.59,1719.54,10,19,No,9,374,25,6,0,Yes
PO100826,2025-10-01,Supplier_06,Home & Kitchen,4,165.63,662.52,9,16,No,7,310,32,4,282,No
PO100827,2025-01-09,Supplier_11,Home & Kitchen,4,199.44,797.76,4,4,Yes,0,494,32,4,466,No
PO100828,2025-04-27,Supplier_07,Electronics,11,365.86,4024.46,6,7,Yes,1,195,46,11,160,No
PO100829,2025-12-05,Supplier_06,Office Supplies,9,185.95,1673.55,4,14,No,10,54,21,9,42,No
PO100830,2025-02-25,Supplier_06,Electronics,13,298.77,3884.01,7,16,No,9,94,41,13,0,Yes
PO100831,2025-04-05,Supplier_01,Electronics,3,348.95,1046.85,9,10,No,1,101,39,3,0,Yes
PO100832,2025-12-27,Supplier_14,Electronics,9,180.06,1620.54,6,16,No,10,374,54,9,329,No
PO100833,2025-07-22,Supplier_12,Home & Kitchen,16,323.3,5172.8,7,13,No,6,121,32,16,105,No
PO100834,2025-08-04,Supplier_14,Home & Kitchen,6,187.09,1122.54,3,1,Yes,0,145,24,6,127,No
PO100835,2025-12-04,Supplier_09,Home & Kitchen,3,19.51,58.53,4,9,No,5,382,21,3,364,No
PO100836,2025-08-09,Supplier_15,Office Supplies,1,101.37,101.37,3,6,No,3,270,19,1,252,No
PO100837,2025-03-29,Supplier_02,,9,454.7,4092.3,7,9,No,2,404,35,9,378,No
PO100838,2025-09-19,Supplier_06,Electronics,4,182.85,731.4,9,7,Yes,0,140,52,4,0,Yes
PO100839,2025-07-15,Supplier_09,Electronics,8,268.0,2144.0,3,4,Yes,1,216,51,8,173,No
PO100840,2025-08-15,Supplier_08,Electronics,5,407.37,2036.85,4,5,No,1,333,39,5,299,No
PO100841,2025-07-19,Supplier_01,Home & Kitchen,5,399.79,1998.95,5,15,No,10,52,30,5,27,No
PO100842,2025-04-26,Supplier_02,Office Supplies,3,391.84,1175.52,7,8,No,1,195,20,3,178,No
PO100843,2025-07-20,Supplier_07,Home & Kitchen,7,161.19,1128.33,4,10,No,6,398,24,7,381,No
PO100844,2025-12-29,Supplier_13,Electronics,16,317.09,5073.44,5,4,Yes,0,170,37,16,0,Yes
PO100845,2025-08-15,Supplier_10,Home & Kitchen,15,380.06,5700.9,6,4,Yes,0,385,30,15,370,No
PO100846,2025-09-17,Supplier_05,Home & Kitchen,8,309.34,2474.72,5,9,No,4,159,25,8,142,No
PO100847,2025-06-05,Supplier_13,Electronics,10,198.05,1980.5,7,13,No,6,130,37,10,0,Yes
PO100848,2025-02-05,Supplier_14,Home & Kitchen,15,341.68,5125.2,5,16,No,11,345,30,15,330,No
PO100849,2025-06-15,Supplier_05,Electronics,7,158.3,1108.1,7,17,No,10,266,46,7,0,Yes
PO100850,2025-02-19,Supplier_14,Office Supplies,6,298.59,1791.54,5,10,No,5,422,18,6,410,No
PO100851,2025-09-06,Supplier_04,Home & Kitchen,17,362.02,6154.34,7,14,No,7,324,29,17,312,No
PO100852,2025-12-11,Supplier_09,Home & Kitchen,15,272.0,4080.0,9,10,Yes,1,40,34,15,21,No
PO100853,2025-12-10,Supplier_05,Home & Kitchen,10,396.67,3966.7,6,11,No,5,65,27,10,48,No
PO100854,2025-08-08,Supplier_11,Electronics,14,201.13,2815.82,5,12,No,7,38,42,14,0,Yes
PO100855,2025-12-02,Supplier_01,Office Supplies,1,293.32,293.32,6,9,No,3,48,23,1,26,No
PO100856,2025-05-10,Supplier_01,Electronics,2,218.77,437.54,6,15,No,9,87,46,2,43,No
PO100857,2025-05-09,Supplier_14,Electronics,11,481.81,5299.91,7,7,Yes,0,359,38,11,0,Yes
PO100858,2025-09-05,Supplier_03,Electronics,9,108.19,973.71,4,4,Yes,0,325,48,9,0,Yes
PO100859,2025-04-21,Supplier_14,Electronics,19,203.22,3861.18,7,14,No,7,182,55,19,146,No
PO100860,2025-09-12,Supplier_11,Home & Kitchen,19,354.53,6736.07,10,8,Yes,0,491,18,19,492,No
PO100861,2025-07-06,Supplier_10,Electronics,11,416.34,4579.74,7,5,Yes,0,412,37,11,386,No
PO100862,2025-08-21,Supplier_11,Home & Kitchen,3,412.99,1238.97,6,7,Yes,1,188,37,3,154,No
PO100863,2025-10-23,Supplier_02,Home & Kitchen,1,131.81,131.81,10,8,Yes,0,445,18,1,428,No
PO100864,2025-02-03,Supplier_01,Electronics,10,353.14,3531.4,10,12,No,2,423,44,10,0,Yes
PO100865,2025-10-01,Supplier_02,Electronics,15,31.52,472.8,7,7,Yes,0,151,45,15,121,No
PO100866,2025-10-30,Supplier_01,Home & Kitchen,15,355.15,5327.25,7,9,No,2,297,24,15,288,No
PO100867,2025-02-19,Supplier_14,Electronics,12,244.92,2939.04,6,4,Yes,0,256,46,12,0,Yes
PO100868,2025-11-03,Supplier_07,Electronics,12,383.9,4606.8,5,15,No,10,32,36,12,8,No
PO100869,2025-12-12,Supplier_02,Home & Kitchen,3,77.63,232.89,7,18,No,11,177,25,3,155,No
PO100870,2025-07-17,Supplier_05,Electronics,1,195.61,195.61,5,14,No,9,215,43,1,173,No
PO100871,2025-06-06,Supplier_03,Home & Kitchen,13,386.19,5020.47,8,17,No,9,152,29,13,136,No
PO100872,2025-11-26,Supplier_14,Electronics,2,53.33,106.66,8,6,Yes,0,120,41,2,0,Yes
PO100873,2025-04-09,Supplier_12,Office Supplies,14,399.45,5592.3,7,6,Yes,0,423,19,14,418,No
PO100874,2025-12-12,Supplier_01,Office Supplies,13,137.35,1785.55,7,8,No,1,474,22,13,465,No
PO100875,2025-08-10,Supplier_05,Home & Kitchen,17,498.0,8466.0,7,13,No,6,102,26,17,93,No
PO100876,2025-11-16,Supplier_10,Electronics,17,403.41,6857.97,4,14,No,10,354,62,17,0,Yes
PO100877,2025-05-20,Supplier_07,Home & Kitchen,9,384.48,3460.32,8,8,Yes,0,265,32,9,242,No
PO100878,2025-04-18,Supplier_04,Office Supplies,7,45.6,319.2,9,9,Yes,0,137,26,7,118,No
PO100879,2025-09-29,Supplier_07,Electronics,19,178.29,3387.51,7,5,Yes,0,457,55,19,0,Yes
PO100880,2025-08-16,Supplier_07,Home & Kitchen,20,359.92,7198.4,5,11,No,6,214,34,20,200,No
PO100881,2025-10-06,Supplier_11,Electronics,10,98.92,989.2,8,7,Yes,0,65,41,10,34,No
PO100882,2025-06-08,Supplier_09,Home & Kitchen,6,444.2,2665.2,10,16,No,6,166,25,6,147,No
PO100883,2025-11-11,Supplier_08,Electronics,15,477.85,7167.75,7,7,Yes,0,291,43,15,0,Yes
PO100884,2025-10-03,Supplier_10,Electronics,5,47.38,236.9,5,3,Yes,0,448,43,5,0,Yes
PO100885,2025-10-20,Supplier_13,Electronics,18,341.04,6138.72,4,3,Yes,0,181,47,18,0,Yes
PO100886,2025-06-14,Supplier_02,Electronics,7,466.26,3263.82,3,13,No,10,209,34,7,0,Yes
PO100887,2025-12-30,Supplier_08,Electronics,20,102.45,2049.0,4,9,No,5,153,43,20,0,Yes
PO100888,2025-01-02,Supplier_12,Electronics,9,171.34,1542.06,8,7,Yes,0,136,51,9,94,No
PO100889,2025-03-27,Supplier_05,Electronics,16,327.76,5244.16,6,12,No,6,445,46,16,0,Yes
PO100890,2025-06-10,Supplier_14,Office Supplies,19,358.41,6809.79,5,10,No,5,116,18,19,117,No
PO100891,2025-07-22,Supplier_03,Electronics,19,378.66,7194.54,5,6,No,1,407,46,19,0,Yes
PO100892,2025-03-01,Supplier_01,Electronics,2,216.37,432.74,9,18,No,9,437,42,2,397,No
PO100893,2025-06-06,Supplier_12,Office Supplies,4,158.05,632.2,9,11,No,2,281,31,4,254,No
PO100894,2025-12-08,Supplier_12,Electronics,4,486.1,1944.4,8,13,No,5,381,43,4,0,Yes
PO100895,2025-10-24,Supplier_04,Office Supplies,6,71.87,431.22,3,9,No,6,490,22,6,474,No
PO100896,2025-01-16,Supplier_15,Electronics,2,265.82,531.64,10,20,No,10,462,44,2,0,Yes
PO100897,2025-09-11,Supplier_10,Office Supplies,11,297.41,3271.51,10,19,No,9,64,24,11,51,No
PO100898,2025-03-06,Supplier_01,Home & Kitchen,14,337.49,4724.86,10,18,No,8,191,31,14,0,Yes
PO100899,2025-06-27,Supplier_10,Home & Kitchen,15,495.52,7432.8,10,13,No,3,77,29,15,63,No
PO100900,2025-04-11,Supplier_06,Electronics,8,,2734.24,3,6,No,3,416,45,8,0,Yes
PO100901,2025-09-18,Supplier_15,Electronics,8,441.25,3530.0,8,8,Yes,0,294,44,8,0,Yes
PO100902,2025-06-20,Supplier_05,Electronics,1,327.02,327.02,8,13,No,5,53,46,1,0,Yes
PO100903,2025-06-22,Supplier_02,Electronics,16,138.54,2216.64,7,9,No,2,356,47,16,0,Yes
PO100904,2025-07-29,Supplier_14,Home & Kitchen,19,122.85,2334.15,10,12,No,2,300,31,19,288,No
PO100905,2025-12-07,Supplier_04,Home & Kitchen,3,485.5,1456.5,5,6,No,1,168,30,3,141,No
PO100906,2025-08-25,Supplier_05,Home & Kitchen,3,333.33,999.99,3,10,No,7,441,30,3,414,No
PO100907,2025-06-15,Supplier_10,Electronics,13,117.87,1532.31,5,11,No,6,398,50,13,0,Yes
PO100908,2025-10-15,Supplier_05,Electronics,6,208.77,1252.62,9,10,Yes,1,352,51,6,0,Yes
PO100909,2025-05-06,Supplier_05,Home & Kitchen,4,401.41,1605.64,7,15,No,8,317,22,4,299,No
PO100910,2025-01-13,Supplier_08,Electronics,1,295.83,295.83,9,20,No,11,283,59,1,0,Yes
PO100911,2025-06-30,Supplier_02,Office Supplies,10,143.0,1430.0,7,14,No,7,294,13,10,291,No
PO100912,2025-06-14,Supplier_09,Office Supplies,10,396.32,3963.2,3,4,Yes,1,272,24,10,258,No
PO100913,2025-06-08,Supplier_14,Home & Kitchen,20,126.98,2539.6,10,17,No,7,451,25,20,446,No
PO100914,2025-08-04,Supplier_15,Electronics,20,204.41,4088.2,9,8,Yes,0,442,36,20,426,No
PO100915,2025-06-25,Supplier_11,Home & Kitchen,6,89.23,535.38,7,12,No,5,125,32,6,99,No
PO100916,2025-04-02,Supplier_09,Electronics,14,172.6,2416.4,9,7,Yes,0,382,48,14,0,Yes
PO100917,2025-09-22,Supplier_04,Office Supplies,12,400.8,4809.6,6,12,No,6,200,29,12,183,No
PO100918,2025-12-14,Supplier_14,Electronics,15,374.07,5611.05,3,6,No,3,152,51,15,0,Yes
PO100919,2025-06-11,Supplier_02,Home & Kitchen,20,421.08,8421.6,10,16,No,6,311,33,20,298,No
PO100920,2025-02-15,Supplier_11,Electronics,2,72.7,145.4,3,8,No,5,244,40,2,0,Yes
PO100921,2025-07-03,Supplier_13,Home & Kitchen,15,242.48,3637.2,3,9,No,6,495,39,15,471,No
PO100922,2025-12-31,Supplier_07,Electronics,15,102.84,1542.6,4,5,No,1,437,51,15,0,Yes
PO100923,2025-01-27,Supplier_09,Home & Kitchen,1,107.39,107.39,10,15,No,5,277,28,1,250,No
PO100924,2025-04-06,Supplier_13,Office Supplies,1,205.64,205.64,3,2,Yes,0,70,27,1,44,No
PO100925,2025-10-05,Supplier_14,Home & Kitchen,8,68.54,548.32,6,6,Yes,0,43,41,8,10,No
PO100926,2025-04-08,Supplier_01,Home & Kitchen,11,62.13,683.43,10,15,No,5,103,29,11,85,No
PO100927,2025-12-19,Supplier_08,Electronics,18,283.74,5107.32,5,3,Yes,0,206,35,18,189,No
PO100928,2025-08-03,Supplier_07,Electronics,10,211.68,2116.8,7,7,Yes,0,166,39,10,137,No
PO100929,2025-09-13,Supplier_04,Electronics,1,362.67,362.67,5,14,No,9,115,34,1,82,No
PO100930,2025-11-23,Supplier_13,Electronics,7,231.45,1620.15,5,12,No,7,117,39,7,0,Yes
PO100931,2025-11-14,Supplier_03,Electronics,4,230.19,920.76,6,12,No,6,143,37,4,0,Yes
PO100932,2025-11-21,Supplier_06,Home & Kitchen,9,315.28,2837.52,10,17,No,7,41,23,9,27,No
PO100933,2025-04-28,Supplier_07,Home & Kitchen,18,444.8,8006.4,6,9,No,3,293,24,18,287,No
PO100934,2025-05-19,Supplier_04,Home & Kitchen,15,351.99,5279.85,7,14,No,7,283,28,15,270,No
PO100935,2025-11-29,Supplier_11,Home & Kitchen,19,493.33,9373.27,5,14,No,9,138,27,19,0,Yes
PO100936,2025-06-06,Supplier_10,Electronics,5,385.38,1926.9,8,14,No,6,284,34,5,0,Yes
PO100937,2025-02-02,Supplier_01,Office Supplies,6,291.49,1748.94,6,7,No,1,431,30,6,407,No
PO100938,2025-05-26,Supplier_03,Home & Kitchen,20,199.55,3991.0,3,14,No,11,115,26,20,109,No
PO100939,2025-12-27,,Office Supplies,1,163.86,163.86,7,11,No,4,266,20,1,0,Yes
PO100940,2025-03-13,Supplier_14,Office Supplies,19,162.61,3089.59,9,9,Yes,0,499,28,19,490,No
PO100941,2025-11-25,Supplier_07,Home & Kitchen,1,93.72,93.72,9,11,No,2,314,26,1,289,No
PO100942,2025-06-06,Supplier_07,,20,296.96,5939.2,3,4,Yes,1,40,19,20,41,No
PO100943,2025-12-30,Supplier_11,Office Supplies,15,39.44,591.6,5,10,No,5,436,21,15,430,No
PO100944,2025-02-05,Supplier_12,Home & Kitchen,17,234.27,3982.59,5,3,Yes,0,94,25,17,86,No
PO100945,2025-05-10,Supplier_03,Home & Kitchen,8,87.14,697.12,10,19,No,9,428,33,8,403,No
PO100946,2025-02-10,Supplier_11,Electronics,7,88.42,618.94,4,4,Yes,0,445,42,7,0,Yes
PO100947,2025-01-14,Supplier_14,Electronics,3,73.93,221.79,4,4,Yes,0,190,44,3,149,No
PO100948,2025-08-14,Supplier_14,Home & Kitchen,20,413.64,8272.8,10,9,Yes,0,390,31,20,379,No
PO100949,2025-10-11,Supplier_05,Electronics,5,114.93,574.65,6,6,Yes,0,369,49,5,325,No
PO100950,2025-08-01,Supplier_12,Home & Kitchen,17,429.94,7308.98,5,4,Yes,0,374,23,17,368,No
PO100951,2025-02-18,Supplier_13,Home & Kitchen,6,444.93,2669.58,10,11,No,1,222,36,6,192,No
PO100952,2025-05-12,Supplier_03,Electronics,8,162.54,1300.32,9,10,Yes,1,141,52,8,97,No
PO100953,2025-10-01,Supplier_13,Electronics,20,219.1,4382.0,9,9,Yes,0,224,49,20,0,Yes
PO100954,2025-03-13,Supplier_14,Home & Kitchen,6,283.22,1699.32,7,8,No,1,462,35,6,433,No
PO100955,2025-05-18,Supplier_14,Electronics,17,128.49,2184.33,9,14,No,5,86,44,17,59,No
PO100956,2025-11-23,Supplier_14,Electronics,7,278.1,1946.7,4,5,Yes,1,473,41,7,0,Yes
PO100957,2025-02-24,Supplier_04,Office Supplies,12,448.83,5385.96,8,14,No,6,405,20,12,397,No
PO100958,2025-01-13,Supplier_08,Home & Kitchen,20,209.19,4183.8,9,16,No,7,153,22,20,151,No
PO100959,2025-04-26,Supplier_13,Home & Kitchen,15,465.7,6985.5,8,16,No,8,43,25,15,33,No
